id	name	type	parentshortcut	opshortcut	path	relPath	parentPath	wirePath	depth	tags	isCOMP	nodeX	nodeY	nodeWidth	nodeHeight	dockId	recursiveChildren
9745	par1	parameterCHOP			/project2/elec_colores_container2/boton_colores_7/par1	project2/elec_colores_container2/boton_colores_7/par1			4		0	130	220	130	90	-1	0
9746	text	textCOMP			/project2/elec_colores_container2/boton_colores_7/text	project2/elec_colores_container2/boton_colores_7/text	/project2/elec_colores_container2/boton_colores_7	text	4		1	130	74	113	96	-1	0
9747	parexec1	parameterexecuteDAT			/project2/elec_colores_container2/boton_colores_7/parexec1	project2/elec_colores_container2/boton_colores_7/parexec1			4		0	130	-50	128	66	-1	0
9748	panelexec1	panelexecuteDAT			/project2/elec_colores_container2/boton_colores_7/panelexec1	project2/elec_colores_container2/boton_colores_7/panelexec1			4		0	310	-50	126	62	-1	0
9749	boton_colores_8	buttonCOMP			/project2/elec_colores_container2/boton_colores_8	project2/elec_colores_container2/boton_colores_8	/project2/elec_colores_container2	boton_colores_8	3		1	1255	-442	160	134	-1	5
9751	par1	parameterCHOP			/project2/elec_colores_container2/boton_colores_8/par1	project2/elec_colores_container2/boton_colores_8/par1			4		0	130	220	130	90	-1	0
9752	text	textCOMP			/project2/elec_colores_container2/boton_colores_8/text	project2/elec_colores_container2/boton_colores_8/text	/project2/elec_colores_container2/boton_colores_8	text	4		1	130	74	113	96	-1	0
9753	parexec1	parameterexecuteDAT			/project2/elec_colores_container2/boton_colores_8/parexec1	project2/elec_colores_container2/boton_colores_8/parexec1			4		0	130	-50	128	66	-1	0
9754	panelexec1	panelexecuteDAT			/project2/elec_colores_container2/boton_colores_8/panelexec1	project2/elec_colores_container2/boton_colores_8/panelexec1			4		0	310	-50	126	62	-1	0
9755	boton_colores_9	buttonCOMP			/project2/elec_colores_container2/boton_colores_9	project2/elec_colores_container2/boton_colores_9	/project2/elec_colores_container2	boton_colores_9	3		1	505	-667	160	134	-1	5
9757	par1	parameterCHOP			/project2/elec_colores_container2/boton_colores_9/par1	project2/elec_colores_container2/boton_colores_9/par1			4		0	130	220	130	90	-1	0
9758	text	textCOMP			/project2/elec_colores_container2/boton_colores_9/text	project2/elec_colores_container2/boton_colores_9/text	/project2/elec_colores_container2/boton_colores_9	text	4		1	130	74	113	96	-1	0
9759	parexec1	parameterexecuteDAT			/project2/elec_colores_container2/boton_colores_9/parexec1	project2/elec_colores_container2/boton_colores_9/parexec1			4		0	130	-50	128	66	-1	0
9760	panelexec1	panelexecuteDAT			/project2/elec_colores_container2/boton_colores_9/panelexec1	project2/elec_colores_container2/boton_colores_9/panelexec1			4		0	310	-50	126	62	-1	0
9761	boton_colores_10	buttonCOMP			/project2/elec_colores_container2/boton_colores_10	project2/elec_colores_container2/boton_colores_10	/project2/elec_colores_container2	boton_colores_10	3		1	755	-667	160	134	-1	5
9763	par1	parameterCHOP			/project2/elec_colores_container2/boton_colores_10/par1	project2/elec_colores_container2/boton_colores_10/par1			4		0	130	220	130	90	-1	0
9764	text	textCOMP			/project2/elec_colores_container2/boton_colores_10/text	project2/elec_colores_container2/boton_colores_10/text	/project2/elec_colores_container2/boton_colores_10	text	4		1	130	74	113	96	-1	0
9765	parexec1	parameterexecuteDAT			/project2/elec_colores_container2/boton_colores_10/parexec1	project2/elec_colores_container2/boton_colores_10/parexec1			4		0	130	-50	128	66	-1	0
9766	panelexec1	panelexecuteDAT			/project2/elec_colores_container2/boton_colores_10/panelexec1	project2/elec_colores_container2/boton_colores_10/panelexec1			4		0	310	-50	126	62	-1	0
9767	replicator1_callbacks	textDAT			/project2/elec_colores_container2/replicator1_callbacks	project2/elec_colores_container2/replicator1_callbacks			3		0	505	-45	160	130	9706	0
9768	elec_municipios_container1	containerCOMP			/project2/elec_municipios_container1	project2/elec_municipios_container1	/project2	elec_municipios_container1	2		1	-70	-196	160	109	-1	74
9769	replicator1	replicatorCOMP			/project2/elec_municipios_container1/replicator1	project2/elec_municipios_container1/replicator1	/project2/elec_municipios_container1		3		1	505	115	160	130	-1	0
9770	boton_municipios_1	buttonCOMP			/project2/elec_municipios_container1/boton_municipios_1	project2/elec_municipios_container1/boton_municipios_1	/project2/elec_municipios_container1	boton_municipios_1	3		1	505	-217	160	134	-1	5
9772	par1	parameterCHOP			/project2/elec_municipios_container1/boton_municipios_1/par1	project2/elec_municipios_container1/boton_municipios_1/par1			4		0	130	220	130	90	-1	0
9773	text	textCOMP			/project2/elec_municipios_container1/boton_municipios_1/text	project2/elec_municipios_container1/boton_municipios_1/text	/project2/elec_municipios_container1/boton_municipios_1	text	4		1	130	74	113	96	-1	0
9774	parexec1	parameterexecuteDAT			/project2/elec_municipios_container1/boton_municipios_1/parexec1	project2/elec_municipios_container1/boton_municipios_1/parexec1			4		0	130	-50	128	66	-1	0
9775	panelexec1	panelexecuteDAT			/project2/elec_municipios_container1/boton_municipios_1/panelexec1	project2/elec_municipios_container1/boton_municipios_1/panelexec1			4		0	310	-50	126	62	-1	0
9776	boton_municipios_2	buttonCOMP			/project2/elec_municipios_container1/boton_municipios_2	project2/elec_municipios_container1/boton_municipios_2	/project2/elec_municipios_container1	boton_municipios_2	3		1	755	-217	160	134	-1	5
9778	par1	parameterCHOP			/project2/elec_municipios_container1/boton_municipios_2/par1	project2/elec_municipios_container1/boton_municipios_2/par1			4		0	130	220	130	90	-1	0
9779	text	textCOMP			/project2/elec_municipios_container1/boton_municipios_2/text	project2/elec_municipios_container1/boton_municipios_2/text	/project2/elec_municipios_container1/boton_municipios_2	text	4		1	130	74	113	96	-1	0
9780	parexec1	parameterexecuteDAT			/project2/elec_municipios_container1/boton_municipios_2/parexec1	project2/elec_municipios_container1/boton_municipios_2/parexec1			4		0	130	-50	128	66	-1	0
9781	panelexec1	panelexecuteDAT			/project2/elec_municipios_container1/boton_municipios_2/panelexec1	project2/elec_municipios_container1/boton_municipios_2/panelexec1			4		0	310	-50	126	62	-1	0
9782	boton_municipios_3	buttonCOMP			/project2/elec_municipios_container1/boton_municipios_3	project2/elec_municipios_container1/boton_municipios_3	/project2/elec_municipios_container1	boton_municipios_3	3		1	1005	-217	160	134	-1	5
9784	par1	parameterCHOP			/project2/elec_municipios_container1/boton_municipios_3/par1	project2/elec_municipios_container1/boton_municipios_3/par1			4		0	130	220	130	90	-1	0
9785	text	textCOMP			/project2/elec_municipios_container1/boton_municipios_3/text	project2/elec_municipios_container1/boton_municipios_3/text	/project2/elec_municipios_container1/boton_municipios_3	text	4		1	130	74	113	96	-1	0
9786	parexec1	parameterexecuteDAT			/project2/elec_municipios_container1/boton_municipios_3/parexec1	project2/elec_municipios_container1/boton_municipios_3/parexec1			4		0	130	-50	128	66	-1	0
9787	panelexec1	panelexecuteDAT			/project2/elec_municipios_container1/boton_municipios_3/panelexec1	project2/elec_municipios_container1/boton_municipios_3/panelexec1			4		0	310	-50	126	62	-1	0
9788	boton_municipios_4	buttonCOMP			/project2/elec_municipios_container1/boton_municipios_4	project2/elec_municipios_container1/boton_municipios_4	/project2/elec_municipios_container1	boton_municipios_4	3		1	1255	-217	160	134	-1	5
9790	par1	parameterCHOP			/project2/elec_municipios_container1/boton_municipios_4/par1	project2/elec_municipios_container1/boton_municipios_4/par1			4		0	130	220	130	90	-1	0
9791	text	textCOMP			/project2/elec_municipios_container1/boton_municipios_4/text	project2/elec_municipios_container1/boton_municipios_4/text	/project2/elec_municipios_container1/boton_municipios_4	text	4		1	130	74	113	96	-1	0
9792	parexec1	parameterexecuteDAT			/project2/elec_municipios_container1/boton_municipios_4/parexec1	project2/elec_municipios_container1/boton_municipios_4/parexec1			4		0	130	-50	128	66	-1	0
9793	panelexec1	panelexecuteDAT			/project2/elec_municipios_container1/boton_municipios_4/panelexec1	project2/elec_municipios_container1/boton_municipios_4/panelexec1			4		0	310	-50	126	62	-1	0
9794	boton_municipios_5	buttonCOMP			/project2/elec_municipios_container1/boton_municipios_5	project2/elec_municipios_container1/boton_municipios_5	/project2/elec_municipios_container1	boton_municipios_5	3		1	505	-442	160	134	-1	5
9796	par1	parameterCHOP			/project2/elec_municipios_container1/boton_municipios_5/par1	project2/elec_municipios_container1/boton_municipios_5/par1			4		0	130	220	130	90	-1	0
9797	text	textCOMP			/project2/elec_municipios_container1/boton_municipios_5/text	project2/elec_municipios_container1/boton_municipios_5/text	/project2/elec_municipios_container1/boton_municipios_5	text	4		1	130	74	113	96	-1	0
9798	parexec1	parameterexecuteDAT			/project2/elec_municipios_container1/boton_municipios_5/parexec1	project2/elec_municipios_container1/boton_municipios_5/parexec1			4		0	130	-50	128	66	-1	0
9799	panelexec1	panelexecuteDAT			/project2/elec_municipios_container1/boton_municipios_5/panelexec1	project2/elec_municipios_container1/boton_municipios_5/panelexec1			4		0	310	-50	126	62	-1	0
9800	boton_municipios_6	buttonCOMP			/project2/elec_municipios_container1/boton_municipios_6	project2/elec_municipios_container1/boton_municipios_6	/project2/elec_municipios_container1	boton_municipios_6	3		1	755	-442	160	134	-1	5
9802	par1	parameterCHOP			/project2/elec_municipios_container1/boton_municipios_6/par1	project2/elec_municipios_container1/boton_municipios_6/par1			4		0	130	220	130	90	-1	0
9803	text	textCOMP			/project2/elec_municipios_container1/boton_municipios_6/text	project2/elec_municipios_container1/boton_municipios_6/text	/project2/elec_municipios_container1/boton_municipios_6	text	4		1	130	74	113	96	-1	0
9804	parexec1	parameterexecuteDAT			/project2/elec_municipios_container1/boton_municipios_6/parexec1	project2/elec_municipios_container1/boton_municipios_6/parexec1			4		0	130	-50	128	66	-1	0
